subject_name,subject_id,subject_category,subject_id_prefix,object_name,object_id,object_category,object_id_prefix,predicate,frequency_qualifier,subject_aspect_qualifier,has_count,supporting_study_cohort
ARHGAP35,2909,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0608272506082725,Mutation,25,TCGA
RHOB,388,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0608272506082725,Mutation,25,TCGA
ASXL1,171023,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0583941605839416,Mutation,24,TCGA
CHD4,1108,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0583941605839416,Mutation,24,TCGA
SMARCA4,6597,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0583941605839416,Mutation,24,TCGA
SF3B1,23451,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0583941605839416,Mutation,24,TCGA
NSD1,64324,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0559610705596107,Mutation,23,TCGA
RXRA,6256,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0559610705596107,Mutation,23,TCGA
PLXNB2,23654,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0559610705596107,Mutation,23,TCGA
EPHA2,1969,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0535279805352798,Mutation,22,TCGA
KLF5,688,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0535279805352798,Mutation,22,TCGA
KMT2B,9757,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0535279805352798,Mutation,22,TCGA
MED12,9968,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0535279805352798,Mutation,22,TCGA
ATRX,546,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0535279805352798,Mutation,22,TCGA
DIAPH2,1730,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0510948905109489,Mutation,21,TCGA
SOS1,6654,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0510948905109489,Mutation,21,TCGA
BRCA1,672,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0510948905109489,Mutation,21,TCGA
ZFHX3,463,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0510948905109489,Mutation,21,TCGA
PIK3CA,5290,Gene,NCBIGene,TCGA-BRCA,MONDO:0006256,Disease,MONDO,gene_associated_with_condition,0.34313725490196,Mutation,350,TCGA
TP53,7157,Gene,NCBIGene,TCGA-BRCA,MONDO:0006256,Disease,MONDO,gene_associated_with_condition,0.341176470588235,Mutation,348,TCGA
CDH1,999,Gene,NCBIGene,TCGA-BRCA,MONDO:0006256,Disease,MONDO,gene_associated_with_condition,0.126470588235294,Mutation,129,TCGA
GATA3,2625,Gene,NCBIGene,TCGA-BRCA,MONDO:0006256,Disease,MONDO,gene_associated_with_condition,0.125490196078431,Mutation,128,TCGA
KMT2C,58508,Gene,NCBIGene,TCGA-BRCA,MONDO:0006256,Disease,MONDO,gene_associated_with_condition,0.096078431372549,Mutation,98,TCGA
MAP3K1,4214,Gene,NCBIGene,TCGA-BRCA,MONDO:0006256,Disease,MONDO,gene_associated_with_condition,0.088235294117647,Mutation,90,TCGA
PTEN,5728,Gene,NCBIGene,TCGA-BRCA,MONDO:0006256,Disease,MONDO,gene_associated_with_condition,0.0588235294117647,Mutation,60,TCGA
SPTA1,6708,Gene,NCBIGene,TCGA-BRCA,MONDO:0006256,Disease,MONDO,gene_associated_with_condition,0.0539215686274509,Mutation,55,TCGA
PIK3CA,5290,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.290657439446366,Mutation,84,TCGA
KMT2C,58508,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.197231833910034,Mutation,57,TCGA
KMT2D,8085,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.14878892733564,Mutation,43,TCGA
DMD,1756,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.131487889273356,Mutation,38,TCGA
FBXW7,55294,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.124567474048442,Mutation,36,TCGA
EP300,2033,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.121107266435986,Mutation,35,TCGA
HUWE1,10075,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.107266435986159,Mutation,31,TCGA
CREBBP,1387,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.0795847750865051,Mutation,23,TCGA
FAT1,2195,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.0795847750865051,Mutation,23,TCGA
TP53,7157,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.0795847750865051,Mutation,23,TCGA
PTEN,5728,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.0726643598615917,Mutation,21,TCGA
NOTCH1,4851,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.0692041522491349,Mutation,20,TCGA
NIPBL,25836,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.0692041522491349,Mutation,20,TCGA
NSD1,64324,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.0657439446366782,Mutation,19,TCGA
RB1,5925,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.0657439446366782,Mutation,19,TCGA
TAF1,6872,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.0622837370242214,Mutation,18,TCGA
ARID1A,8289,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.0622837370242214,Mutation,18,TCGA
FLNA,2316,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.0622837370242214,Mutation,18,TCGA
ATRX,546,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.0588235294117647,Mutation,17,TCGA
CDK12,51755,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.0588235294117647,Mutation,17,TCGA
SPTA1,6708,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.0553633217993079,Mutation,16,TCGA
KRAS,3845,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.0553633217993079,Mutation,16,TCGA
ZFHX3,463,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.0553633217993079,Mutation,16,TCGA
NFE2L2,4780,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.0553633217993079,Mutation,16,TCGA
APOB,338,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.0553633217993079,Mutation,16,TCGA
MED12,9968,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.0553633217993079,Mutation,16,TCGA
MGA,23269,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.0553633217993079,Mutation,16,TCGA
SETD2,29072,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.0519031141868512,Mutation,15,TCGA
HLA-B,3106,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.0519031141868512,Mutation,15,TCGA
ERBB3,2065,Gene,NCBIGene,TCGA-CESC,MONDO:0006143,Disease,MONDO,gene_associated_with_condition,0.0519031141868512,Mutation,15,TCGA
PBRM1,55193,Gene,NCBIGene,TCGA-CHOL,MONDO:0019087,Disease,MONDO,gene_associated_with_condition,0.194444444444444,Mutation,7,TCGA
BAP1,8314,Gene,NCBIGene,TCGA-CHOL,MONDO:0019087,Disease,MONDO,gene_associated_with_condition,0.194444444444444,Mutation,7,TCGA
IDH1,3417,Gene,NCBIGene,TCGA-CHOL,MONDO:0019087,Disease,MONDO,gene_associated_with_condition,0.138888888888888,Mutation,5,TCGA
APC,324,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.714285714285714,Mutation,290,TCGA
TP53,7157,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.549261083743842,Mutation,223,TCGA
KRAS,3845,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.43103448275862,Mutation,175,TCGA
PIK3CA,5290,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.317733990147783,Mutation,129,TCGA
FBXW7,55294,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.167487684729064,Mutation,68,TCGA
DMD,1756,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.145320197044334,Mutation,59,TCGA
ATM,472,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.142857142857142,Mutation,58,TCGA
KMT2D,8085,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.142857142857142,Mutation,58,TCGA
BRAF,673,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.142857142857142,Mutation,58,TCGA
SPTA1,6708,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.14039408866995,Mutation,57,TCGA
SOX9,6662,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.14039408866995,Mutation,57,TCGA
AMER1,139285,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.135467980295566,Mutation,55,TCGA
KMT2C,58508,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.130541871921182,Mutation,53,TCGA
KMT2B,9757,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.12807881773399,Mutation,52,TCGA
ARID1A,8289,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.125615763546798,Mutation,51,TCGA
ZFHX3,463,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.125615763546798,Mutation,51,TCGA
SMAD4,4089,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.120689655172413,Mutation,49,TCGA
FAT1,2195,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.118226600985221,Mutation,48,TCGA
COL5A1,1289,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.110837438423645,Mutation,45,TCGA
TCF7L2,6934,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.110837438423645,Mutation,45,TCGA
RNF43,54894,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.110837438423645,Mutation,45,TCGA
MACF1,23499,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.100985221674876,Mutation,41,TCGA
ERBB4,2066,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0985221674876847,Mutation,40,TCGA
CREBBP,1387,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0960591133004926,Mutation,39,TCGA
CACNA1A,773,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0960591133004926,Mutation,39,TCGA
MTOR,2475,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0960591133004926,Mutation,39,TCGA
APOB,338,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0935960591133004,Mutation,38,TCGA
CHD4,1108,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0911330049261083,Mutation,37,TCGA
NIPBL,25836,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0886699507389162,Mutation,36,TCGA
HUWE1,10075,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0862068965517241,Mutation,35,TCGA
MYH9,4627,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0862068965517241,Mutation,35,TCGA
KMT2A,4297,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.083743842364532,Mutation,34,TCGA
CHD8,57680,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0812807881773399,Mutation,33,TCGA
ACVR2A,92,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0812807881773399,Mutation,33,TCGA
FLNA,2316,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0812807881773399,Mutation,33,TCGA
POLE,5426,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0788177339901477,Mutation,32,TCGA
ARID2,196528,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0788177339901477,Mutation,32,TCGA
MGA,23269,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0788177339901477,Mutation,32,TCGA
USP9X,8239,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0788177339901477,Mutation,32,TCGA
MAP3K4,4216,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0788177339901477,Mutation,32,TCGA
ZBTB20,26137,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0763546798029556,Mutation,31,TCGA
CIC,23152,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0763546798029556,Mutation,31,TCGA
KANSL1,284058,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0738916256157635,Mutation,30,TCGA
ATRX,546,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0738916256157635,Mutation,30,TCGA
NCOR1,9611,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0738916256157635,Mutation,30,TCGA
CARD11,84433,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0738916256157635,Mutation,30,TCGA
SETBP1,26040,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0714285714285714,Mutation,29,TCGA
SCAF4,57466,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0714285714285714,Mutation,29,TCGA
KIF1A,547,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0714285714285714,Mutation,29,TCGA
BRCA2,675,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0714285714285714,Mutation,29,TCGA
EPHA3,2042,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0714285714285714,Mutation,29,TCGA
ALK,238,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0714285714285714,Mutation,29,TCGA
POLQ,10721,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0689655172413793,Mutation,28,TCGA
BCOR,54880,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0689655172413793,Mutation,28,TCGA
CTNNB1,1499,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0689655172413793,Mutation,28,TCGA
PTPRC,5788,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0689655172413793,Mutation,28,TCGA
ASXL1,171023,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0689655172413793,Mutation,28,TCGA
CDK12,51755,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0665024630541872,Mutation,27,TCGA
MUC6,4588,Gene,NCBIGene,TCGA-COAD,MONDO:0002271,Disease,MONDO,gene_associated_with_condition,0.0665024630541872,Mutation,27,TCGA
